CALENDAR_YEAR,LOCATION_ID,LOCATION,AGE_GROUP_PUBLIC,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-614,San Luis Obispo County CoC,25-34,332
2017,CA-614,San Luis Obispo County CoC,35-44,242
2017,CA-614,San Luis Obispo County CoC,45-54,216
2017,CA-614,San Luis Obispo County CoC,55-64,190
2017,CA-614,San Luis Obispo County CoC,65+,72
2017,CA-614,San Luis Obispo County CoC,Under 18,499
2017,CA-614,San Luis Obispo County CoC,Unknown,34
2018,All,California,18-24,18383
2018,All,California,25-34,33375
2018,All,California,35-44,30232
2018,All,California,45-54,31421
2018,All,California,55-64,27838
2018,All,California,65+,9312
2018,All,California,Under 18,55670
2018,All,California,Unknown,9095
2018,CA-500,Santa Clara County CoC,18-24,807
2018,CA-500,Santa Clara County CoC,25-34,1497
2018,CA-500,Santa Clara County CoC,35-44,1459
2018,CA-500,Santa Clara County CoC,45-54,1610
2018,CA-500,Santa Clara County CoC,55-64,1546
2018,CA-500,Santa Clara County CoC,65+,505
2018,CA-500,Santa Clara County CoC,Under 18,2372
2018,CA-500,Santa Clara County CoC,Unknown,140
2018,CA-501,San Francisco CoC,18-24,614
2018,CA-501,San Francisco CoC,25-34,810
2018,CA-501,San Francisco CoC,35-44,744
2018,CA-501,San Francisco CoC,45-54,699
2018,CA-501,San Francisco CoC,55-64,586
2018,CA-501,San Francisco CoC,65+,207
2018,CA-501,San Francisco CoC,Under 18,1944
2018,CA-501,San Francisco CoC,Unknown,170
2018,CA-502,Alameda County CoC,18-24,690
2018,CA-502,Alameda County CoC,25-34,929
2018,CA-502,Alameda County CoC,35-44,829
2018,CA-502,Alameda County CoC,45-54,950
2018,CA-502,Alameda County CoC,55-64,937
2018,CA-502,Alameda County CoC,65+,350
2018,CA-502,Alameda County CoC,Under 18,1816
2018,CA-502,Alameda County CoC,Unknown,116
2018,CA-503,Sacramento County CoC,18-24,1108
2018,CA-503,Sacramento County CoC,25-34,1625
2018,CA-503,Sacramento County CoC,35-44,1560
2018,CA-503,Sacramento County CoC,45-54,1685
2018,CA-503,Sacramento County CoC,55-64,1336
2018,CA-503,Sacramento County CoC,65+,354
2018,CA-503,Sacramento County CoC,Under 18,3955
2018,CA-503,Sacramento County CoC,Unknown,191
2018,CA-504,Sonoma County CoC,18-24,283
2018,CA-504,Sonoma County CoC,25-34,466
2018,CA-504,Sonoma County CoC,35-44,499
2018,CA-504,Sonoma County CoC,45-54,515
2018,CA-504,Sonoma County CoC,55-64,507
2018,CA-504,Sonoma County CoC,65+,200
2018,CA-504,Sonoma County CoC,Under 18,771
2018,CA-504,Sonoma County CoC,Unknown,42
2018,CA-505,Contra Costa County CoC,18-24,386
2018,CA-505,Contra Costa County CoC,25-34,1011
2018,CA-505,Contra Costa County CoC,35-44,926
2018,CA-505,Contra Costa County CoC,45-54,1003
2018,CA-505,Contra Costa County CoC,55-64,989
2018,CA-505,Contra Costa County CoC,65+,373
2018,CA-505,Contra Costa County CoC,Under 18,1143
2018,CA-505,Contra Costa County CoC,Unknown,63
2018,CA-506,"Monterey, San Benito Counties CoC",18-24,110
2018,CA-506,"Monterey, San Benito Counties CoC",25-34,250
2018,CA-506,"Monterey, San Benito Counties CoC",35-44,222
2018,CA-506,"Monterey, San Benito Counties CoC",45-54,199
2018,CA-506,"Monterey, San Benito Counties CoC",55-64,220
2018,CA-506,"Monterey, San Benito Counties CoC",65+,92
2018,CA-506,"Monterey, San Benito Counties CoC",Under 18,622
2018,CA-506,"Monterey, San Benito Counties CoC",Unknown,31
2018,CA-507,Marin County CoC,18-24,76
2018,CA-507,Marin County CoC,25-34,230
2018,CA-507,Marin County CoC,35-44,214
2018,CA-507,Marin County CoC,45-54,262
2018,CA-507,Marin County CoC,55-64,235
2018,CA-507,Marin County CoC,65+,101
2018,CA-507,Marin County CoC,Under 18,246
2018,CA-507,Marin County CoC,Unknown,13
2018,CA-508,Santa Cruz County CoC,18-24,100
2018,CA-508,Santa Cruz County CoC,25-34,280
2018,CA-508,Santa Cruz County CoC,35-44,281
2018,CA-508,Santa Cruz County CoC,45-54,309
2018,CA-508,Santa Cruz County CoC,55-64,299
2018,CA-508,Santa Cruz County CoC,65+,118
2018,CA-508,Santa Cruz County CoC,Under 18,455
2018,CA-508,Santa Cruz County CoC,Unknown,68
2018,CA-509,Mendocino County CoC,18-24,62
2018,CA-509,Mendocino County CoC,25-34,96
2018,CA-509,Mendocino County CoC,35-44,107
2018,CA-509,Mendocino County CoC,45-54,107
2018,CA-509,Mendocino County CoC,55-64,101
2018,CA-509,Mendocino County CoC,65+,39
2018,CA-509,Mendocino County CoC,Under 18,62
2018,CA-509,Mendocino County CoC,Unknown,25
2018,CA-510,Stanislaus County CoC,18-24,526
2018,CA-510,Stanislaus County CoC,25-34,1054
2018,CA-510,Stanislaus County CoC,35-44,932
2018,CA-510,Stanislaus County CoC,45-54,747
